herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
WIS	1013798	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.520833,-102.608333	WIS-L-0016829	Badlands National Park, wooded draws	https://lichenportal.org/portal/collections/individual/index.php?occid=1013798	COUNTRY	1000
WIS	1013838	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.516667,-102.6	WIS-L-0016900	Badlands National Park, Fog Creek drainage	https://lichenportal.org/portal/collections/individual/index.php?occid=1013838	COUNTRY	1000
WIS	1014287	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.58333	WIS-L-0017480	Badlands National Park. N1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1014287	COUNTRY	1000
WIS	1014289	WIS	S. Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.516667,-102.6	WIS-L-0017482	Badlands National Park; Fog Creek drainage	https://lichenportal.org/portal/collections/individual/index.php?occid=1014289	COUNTRY	1000
WIS	1014320	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0017448	Badlands National Park, N one half of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1014320	COUNTRY	1000
WIS	1014462	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0017156	Badlands National Park, N one half of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1014462	COUNTRY	1000
WIS	1014475	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0017143	Badlands National Park, N 1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1014475	COUNTRY	1000
WIS	1014476	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.58333	WIS-L-0017142	Badlands National Park, N1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1014476	COUNTRY	1000
WIS	1014477	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0017141	Badlands National Park, N one half of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1014477	COUNTRY	1000
WIS	1016093	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.520833,-102.058333	WIS-L-0017851	Badlands National Park. Fog Creek drainage	https://lichenportal.org/portal/collections/individual/index.php?occid=1016093	COUNTRY	1000
WIS	1016095	WIS	S. Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.583333	WIS-L-0017853	N1/2 of Cedar Butte, SW of Sheep Mountain, Badland National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1016095	COUNTRY	1000
WIS	1016097	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.58333	WIS-L-0017855	N1/2 of Cedar Butte, SW of Sheep Mountain, Badland National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1016097	COUNTRY	1000
WIS	1016111	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.66667,-102.58333	WIS-L-0017869	Badlands National Park. S1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1016111	COUNTRY	1000
WIS	1016353	WIS	Susan Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.516667,-102.6	WIS-L-0017915	Badlands National Park, Fog Creek drainage	https://lichenportal.org/portal/collections/individual/index.php?occid=1016353	COUNTRY	1000
