error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	PH	1796196	PH	Clifford M. Wetmore	Wyoming	Gallatin	NA	county_not_matched_no_match	county_not_matched	45.715556,-110.972778	PH00116522	M Hill, 4 miles [6.4 km] northeast of Bozeman, Gallatin National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1796196
COUNTRY	1000	PH	1796197	PH	Clifford M. Wetmore	Wyoming	Gallatin	NA	county_not_matched_no_match	county_not_matched	45.71556,-110.97278	PH00116523	Gallatin National Forest. M Hill, 4 miles [6.4 km] northeast of Bozeman	https://lichenportal.org/portal/collections/individual/index.php?occid=1796197
COUNTRY	1000	RM	1619861	RM	Roger Rosentreter	Wyoming	Ulaanbadrakh	NA	county_not_matched_no_match	county_not_matched	43.65,-110.74	RM-L-0000202	12 Km North of Jackson, WY. Teton National Park, Along Wilson Road,Windswept terraces west of Wilson road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1619861
COUNTRY	1000	RM	1620179	RM	Roger Rosentreter	Wyoming	Ulaanbadrakh	NA	county_not_matched_no_match	county_not_matched	43.65,-110.74	RM-L-0000520	12 km North of Jackson, WY, Teton National Park, Along Wilson Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1620179
COUNTRY	1000	SBBG	4922806	SBBG	C. A. Morse	Wyoming	Natrona	10649.82	outside_boundary_exact	not_found_in_US	43.43295,106.23	SBBG005657L	1.25 mi N, 0.25 mi E Edgerton on WY Hwy 387. (2.3 roadmi N jct of WY hwys 259 & 387 on 387) BLM land along E side of Hwy	https://lichenportal.org/portal/collections/individual/index.php?occid=4922806
COUNTRY	1000	US	2790724	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	not_found_in_US	41,-69	NA	Rochelle hills, head of Wildcat and Fork Keyton Creeks., Fort Union formation.	https://lichenportal.org/portal/collections/individual/index.php?occid=2790724
COUNTRY	1000	US	2791184	US	C. Wetmore	Wyoming	Weston	5177.71	outside_boundary_exact	not_found_in_US	12.78,-63	NA	Black Hills, along Skull Creek 3.2 mi S of road to Upton (18 mi NW of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=2791184
COUNTRY	1000	US	2792076	US	C. Wetmore	Wyoming	Weston	3362.66	outside_boundary_exact	not_found_in_US	46,-61	NA	Black Hills, N of Flying V Resort (10 mi N of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=2792076
COUNTRY	1000	US	2792084	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	not_found_in_US	41,-69	NA	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=2792084
COUNTRY	1000	US	2792175	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	not_found_in_US	41,-69	NA	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=2792175
