error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTY	10	ILLS	2704960	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.18	outside_boundary_exact	New Hampshire, Coos County	44.206177,-71.403688	ILLS00100547	White Mountain National Forest, Boreal Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2704960
COUNTY	10	ILLS	3774469	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.18	outside_boundary_exact	New Hampshire, Coos County	44.206177,-71.403688	ILLS00101623	White Mountain National Forest, Boreal Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=3774469
COUNTY	10	TENN	1045286	Edward Tuckerman	New Hampshire	Carroll	1.15	outside_boundary_exact	New Hampshire, Coos County	44.136456,-71.332575	TENN-L-0002592	Mt. Crawford	https://lichenportal.org/portal/collections/individual/index.php?occid=1045286
COUNTY	10	WIS	2426168	E. Tuckerman	New Hampshire	Carroll	1.15	outside_boundary_exact	New Hampshire, Coos County	44.136456,-71.332575	WIS-L-0086425	Mt. Crawford	https://lichenportal.org/portal/collections/individual/index.php?occid=2426168
COUNTY	10	WIS	2426216	Edward Tuckerman	New Hampshire	Carroll	1.15	outside_boundary_exact	New Hampshire, Coos County	44.136456,-71.332575	WIS-L-0086477	White Mountains, Crawford's (Notch)	https://lichenportal.org/portal/collections/individual/index.php?occid=2426216
COUNTY	10	YPM	1653945	Edward Tuckerman	New Hampshire	Carroll	1.15	outside_boundary_exact	New Hampshire, Coos County	44.136456,-71.332575	YU.238885	Summit of Mt. Crawford	https://lichenportal.org/portal/collections/individual/index.php?occid=1653945
COUNTY	10	YPM	1656902	Edward Tuckerman	New Hampshire	Carroll	1.15	outside_boundary_exact	New Hampshire, Coos County	44.136456,-71.332575	YU.240264	White Mountains, Crawford's	https://lichenportal.org/portal/collections/individual/index.php?occid=1656902
COUNTY	10	MAINE	1974079	J. Blake	New Hampshire	BELKNAP	1.09	outside_boundary_exact	New Hampshire, Merrimack County	43.42,-71.51	MAINE-L-0007736	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=1974079
COUNTY	10	MAINE	2693267	J. Blake	New Hampshire	BELKNAP	1.09	outside_boundary_exact	New Hampshire, Merrimack County	43.42,-71.51	MAINE-L-0008571	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693267
COUNTY	10	MAINE	2693268	J. Blake	New Hampshire	BELKNAP	1.09	outside_boundary_exact	New Hampshire, Merrimack County	43.42,-71.51	MAINE-L-0008572	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693268
COUNTY	10	MAINE	2693315	J. Blake	New Hampshire	BELKNAP	1.09	outside_boundary_exact	New Hampshire, Merrimack County	43.42,-71.51	MAINE-L-0008619	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693315
COUNTY	10	MAINE	2693321	J. Blake	New Hampshire	BELKNAP	1.09	outside_boundary_exact	New Hampshire, Merrimack County	43.42,-71.51	MAINE-L-0008625	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693321
COUNTY	10	MAINE	2693528	J. Blake	New Hampshire	BELKNAP	1.09	outside_boundary_exact	New Hampshire, Merrimack County	43.42,-71.51	MAINE-L-0008832	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693528
