error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	WTU	1255156	E. H. Muller	Alaska	Kenai Peninsula	405.03	outside_boundary_exact	not_found_in_US	58.633333,-161.133333	WTU-L-006173	Nushagak Peninsula, Pike Knob.	https://lichenportal.org/portal/collections/individual/index.php?occid=1255156
COUNTRY	1000	SRP	3352834	Roger Rosentreter	Alaska	Kenai Peninsula	339.23	outside_boundary_exact	not_found_in_US	59.87077,-143.09098	NA	near Chinitna Ranger Station on north side of Chinitna Bay, Lake Clark National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352834
COUNTRY	1000	WIS	1098870	Stephen S. Talbot	Alaska	Dillingham	336.05	outside_boundary_exact	not_found_in_US	58.733333,-150.866667	WIS-L-0043048	Hagemeister Island; Bristol Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1098870
COUNTRY	1000	OSC	5426647	JoAnn Flock	Alaska	Nome	223.51	outside_boundary_exact	not_found_in_US	68.575,-168	71558	Seward Peninsula, Cape Prince of Wales, Cape Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=5426647
COUNTRY	1000	STNF	4722535	C. Derr	Alaska	Juneau	187.01	outside_boundary_exact	not_found_in_US	56.006111,-134.01	STNF09431	Tongass National Forest. Mendenhall Glacier. Mendenhall Valley. East Glacier Trail, near observatory.	https://lichenportal.org/portal/collections/individual/index.php?occid=4722535
COUNTRY	1000	OSC	4414767	Peter Neitlich	Alaska	Aleutians East	185.75	outside_boundary_exact	not_found_in_US	58.616667,-159.966667	94881	Round Island, Walrus Islands State Game Sanctuary, approximately 50 km S of Togiak	https://lichenportal.org/portal/collections/individual/index.php?occid=4414767
COUNTRY	1000	OSC	482062	A. H. Marsh	Alaska	Yukon Koyukuk	181.83	outside_boundary_similarity_0.6	not_found_in_US	67.4666667,-137.6583333	53607	Old Crow	https://lichenportal.org/portal/collections/individual/index.php?occid=482062
COUNTRY	1000	WTU	1261984	C. Derr, G. Pence	Alaska	Juneau	159.19	outside_boundary_exact	not_found_in_US	56.366667,-134.6	WTU-L-015182	Mendenhall Glacier, East Glacier Trail, near observatory Mendenhall Valley, Juneau.	https://lichenportal.org/portal/collections/individual/index.php?occid=1261984
COUNTRY	1000	WTU	1261992	C. Derr, G. Pence	Alaska	Juneau	159.19	outside_boundary_exact	not_found_in_US	56.366667,-134.6	WTU-L-015183	Mendenhall Glacier, East Glacier Trail, near observatory Mendenhall Valley, Juneau.	https://lichenportal.org/portal/collections/individual/index.php?occid=1261992
COUNTRY	1000	COLO	1651956	Emily A. Holt	Alaska	Northwest Arctic	148.48	outside_boundary_exact	not_found_in_US	68.03495,-168.3528	COLO-L-0008790	Plot 04-F1, Noatak National Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=1651956
COUNTRY	1000	WIS	1092919	S.S. Talbot	Alaska	Aleutians West	142.13	outside_boundary_exact	not_found_in_US	55.183467,-170.1862	WIS-L-0042013	St. Paul Island, Alaska; Korovina Hill	https://lichenportal.org/portal/collections/individual/index.php?occid=1092919
COUNTRY	1000	WIS	1024219	Stephen S. Talbot	Alaska	Aleutians East	140.05	outside_boundary_exact	not_found_in_US	57.123333,-162.838333	WIS-L-0022137	Izembek NWR; Frosty Mountain. Map/Quad: Cold Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1024219
COUNTRY	1000	TENN	1113953	A.J. Sharp	Alaska	Yukon	119.03	outside_boundary_partial_match	not_found_in_US	69.55,-139.5	TENN-L-0007837	near Firth river	https://lichenportal.org/portal/collections/individual/index.php?occid=1113953
COUNTRY	1000	ASU	97174	L. Geiser	Alaska	Wrangell Petersburg	104.42	outside_boundary_first_word_match	not_found_in_US	57.3516667,-133.8227778	NA	Tongass National Forest; Stikine area, mainland, Cape Fanshaw Yellow Cedar Research Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=97174
COUNTRY	1000	WTU	1261213	Eyerdam	Alaska	Wrangell Petersburg	88.62	outside_boundary_first_word_match	not_found_in_US	56.717954,-134.390721	WTU-L-014900	Outer coast of Washington Bay, Kuiu Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=1261213
COUNTRY	1000	WTU	1263694	Eyerdam	Alaska	Wrangell Petersburg	88.62	outside_boundary_first_word_match	not_found_in_US	56.717954,-134.390721	WTU-L-017795	Outer coast of Washington Bay, Kuiu Island.	https://lichenportal.org/portal/collections/individual/index.php?occid=1263694
COUNTRY	1000	WTU	1255412	W. J. Eyerdam	Alaska	Wrangell Petersburg	88.54	outside_boundary_first_word_match	not_found_in_US	56.71739,-134.389873	WTU-L-007064	Washington Bay, Kuiu Island, outer coast.	https://lichenportal.org/portal/collections/individual/index.php?occid=1255412
COUNTRY	1000	WTU	1256063	W. J. Eyerdam	Alaska	Wrangell Petersburg	88.54	outside_boundary_first_word_match	not_found_in_US	56.71739,-134.389873	WTU-L-007603	Washington Bay, Kuiu Island, outer coast.	https://lichenportal.org/portal/collections/individual/index.php?occid=1256063
COUNTRY	1000	WTU	1261283	W. J. Eyerdam	Alaska	Wrangell Petersburg	88.54	outside_boundary_first_word_match	not_found_in_US	56.71739,-134.389873	WTU-L-014976	Washington Bay, Kuiu Island, outer coast.	https://lichenportal.org/portal/collections/individual/index.php?occid=1261283
