herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
FLAS	1740686	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L811	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1740686	COUNTY	10
FLAS	1740726	FLAS	N.H. Can	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L815	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1740726	COUNTY	10
FLAS	1740736	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L818	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1740736	COUNTY	10
FLAS	1741002	FLAS	[n/a]	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L887	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1741002	COUNTY	10
FLAS	1741183	FLAS	Jimmie R. Norton	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L978	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1741183	COUNTY	10
FLAS	1829161	FLAS	N.H. Can	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L988	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1829161	COUNTY	10
FLAS	1829167	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L991	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1829167	COUNTY	10
FLAS	1829186	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L985	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1829186	COUNTY	10
FLAS	2217876	FLAS	R.G. Anderson	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L960	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2217876	COUNTY	10
FLAS	2217960	FLAS	N.H. Can	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1156	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2217960	COUNTY	10
FLAS	2217973	FLAS	D. Samuelson	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L943	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2217973	COUNTY	10
FLAS	2218148	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1174	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2218148	COUNTY	10
FLAS	2218216	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L942	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2218216	COUNTY	10
FLAS	2218261	FLAS	C.C. Tu	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1154	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2218261	COUNTY	10
FLAS	2218270	FLAS	NF	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1171	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2218270	COUNTY	10
FLAS	2218271	FLAS	N.H. Can	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1176	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2218271	COUNTY	10
FLAS	2218530	FLAS	[n/a]	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1708	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2218530	COUNTY	10
FLAS	2408315	FLAS	Nora Faria	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1224	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2408315	COUNTY	10
FLAS	2419043	FLAS	D. Samuelson	Georgia	Charlton	3.81	outside_boundary_exact	Georgia, Ware County	30.758879,-82.301438	FLAS L1339	Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=2419043	COUNTY	10
FLAS	1322479	FLAS	Nora Faría	Georgia	Charlton	3.79	outside_boundary_exact	Georgia, Ware County	30.759102,-82.301181	FLAS L625	Okefenokee National Wildlife Refuge, Billy's' Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1322479	COUNTY	10
FLAS	1322481	FLAS	[n/a]	Georgia	Charlton	3.79	outside_boundary_exact	Georgia, Ware County	30.759102,-82.301181	FLAS L627	Okefenokee National Wildlife Refuge, Billy's' Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1322481	COUNTY	10
FLAS	1322521	FLAS	N.F	Georgia	Charlton	3.79	outside_boundary_exact	Georgia, Ware County	30.759102,-82.301181	FLAS L922	Okefenokee National Wildlife Refuge, Billy's' Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1322521	COUNTY	10
FLAS	2217886	FLAS	Jimmie R. Norton	Georgia	Charlton	3.79	outside_boundary_exact	Georgia, Ware County	30.759102,-82.301181	FLAS L984	Okefenokee National Wildlife Refuge, Billy's' Island	https://lichenportal.org/portal/collections/individual/index.php?occid=2217886	COUNTY	10
FLAS	2218597	FLAS	[n/a]	Georgia	Charlton	3.79	outside_boundary_exact	Georgia, Ware County	30.759102,-82.301181	FLAS L989	Okefenokee National Wildlife Refuge, Billy's' Island	https://lichenportal.org/portal/collections/individual/index.php?occid=2218597	COUNTY	10
CUP	1792921	CUP	Small	Georgia	Habersham	3.72	outside_boundary_exact	Georgia, Stephens County	34.59621,-83.35989	CUP-L-0004446	Toccoa Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=1792921	COUNTY	10
CHRB	1387069	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0000799	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1387069	COUNTY	10
CHRB	1387139	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0000869	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1387139	COUNTY	10
CHRB	1412979	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0001573	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1412979	COUNTY	10
CHRB	1413069	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0001663	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1413069	COUNTY	10
CHRB	1413100	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0001694	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1413100	COUNTY	10
CHRB	1413115	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0001709	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1413115	COUNTY	10
CHRB	1413135	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0001729	Rte 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1413135	COUNTY	10
CHRB	1413381	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0001975	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1413381	COUNTY	10
CHRB	1481339	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0000060	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1481339	COUNTY	10
CHRB	1481630	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0000351	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1481630	COUNTY	10
CHRB	1481700	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0000421	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1481700	COUNTY	10
CHRB	1481775	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0000906	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1481775	COUNTY	10
CHRB	1481788	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0000919	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1481788	COUNTY	10
CHRB	1481789	CHRB	Erica M. Frank	Georgia	Hancock	3.6	outside_boundary_exact	Georgia, Taliaferro County	33.5,-83	CHRB-L-0000920	Route 15 near Sparta	https://lichenportal.org/portal/collections/individual/index.php?occid=1481789	COUNTY	10
